Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1961","1961","ha","8900","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1962","1962","ha","9000","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1963","1963","ha","8700","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1964","1964","ha","18500","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1965","1965","ha","19700","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1966","1966","ha","17700","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1967","1967","ha","18600","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1968","1968","ha","20200","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1969","1969","ha","19400","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1970","1970","ha","18500","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1971","1971","ha","23900","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1972","1972","ha","21400","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1973","1973","ha","22100","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1974","1974","ha","19800","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1975","1975","ha","22471","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1976","1976","ha","24335","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1977","1977","ha","22918","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1978","1978","ha","22640","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1979","1979","ha","23100","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1980","1980","ha","24135","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1981","1981","ha","27878","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1982","1982","ha","30525","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1983","1983","ha","32402","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1984","1984","ha","33100","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1985","1985","ha","38700","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1986","1986","ha","40500","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1987","1987","ha","40300","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1988","1988","ha","41300","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1989","1989","ha","41795","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1990","1990","ha","42014","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1991","1991","ha","42396","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1992","1992","ha","41237","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1993","1993","ha","73167","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1994","1994","ha","73501","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1995","1995","ha","73915","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1996","1996","ha","74559","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1997","1997","ha","75100","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1998","1998","ha","75500","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","1999","1999","ha","76900","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","2000","2000","ha","78590","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","2001","2001","ha","78469","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","2002","2002","ha","77866","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","2003","2003","ha","74791","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","2004","2004","ha","81727","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","2005","2005","ha","81991","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","2006","2006","ha","84695","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","2007","2007","ha","90135","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","2008","2008","ha","90700","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","2009","2009","ha","90584","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","2010","2010","ha","90124","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","2011","2011","ha","93100","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","2012","2012","ha","89600","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","577","Dates","2013","2013","ha","89654","","Official data"
