Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","403","Onions, dry","2010","2010","tonnes","152647","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","403","Onions, dry","2011","2011","tonnes","91038","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","403","Onions, dry","2012","2012","tonnes","137774","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","403","Onions, dry","2013","2013","tonnes","170946","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","403","Onions, dry","2014","2014","tonnes","66915","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","403","Onions, dry","2015","2015","tonnes","109906","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","403","Onions, dry","2016","2016","tonnes","47992","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","403","Onions, dry","2017","2017","tonnes","75838","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","403","Onions, dry","2018","2018","tonnes","54422","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","403","Onions, dry","2019","2019","tonnes","85604","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","403","Onions, dry","2020","2020","tonnes","165237","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","116","Potatoes","2010","2010","tonnes","12986","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","116","Potatoes","2011","2011","tonnes","6332","*","Unofficial figure"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","116","Potatoes","2012","2012","tonnes","5435","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","116","Potatoes","2013","2013","tonnes","11447","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","116","Potatoes","2014","2014","tonnes","232174","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","116","Potatoes","2015","2015","tonnes","6898","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","116","Potatoes","2016","2016","tonnes","7494","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","7945","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","116","Potatoes","2018","2018","tonnes","5389","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","116","Potatoes","2019","2019","tonnes","5940","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","116","Potatoes","2020","2020","tonnes","35913","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","388","Tomatoes","2010","2010","tonnes","76890","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","388","Tomatoes","2011","2011","tonnes","171319","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","388","Tomatoes","2012","2012","tonnes","247984","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","388","Tomatoes","2013","2013","tonnes","265353","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","388","Tomatoes","2014","2014","tonnes","287406","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","388","Tomatoes","2015","2015","tonnes","269285","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","388","Tomatoes","2016","2016","tonnes","254546","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","388","Tomatoes","2017","2017","tonnes","56855","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","388","Tomatoes","2018","2018","tonnes","181605","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","388","Tomatoes","2019","2019","tonnes","232786","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","388","Tomatoes","2020","2020","tonnes","365380","","Official data"
