Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balances (2010-),165,Pakistan,5511,Production,2805,Rice ,2010,2010,1000 tonnes,7235,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),165,Pakistan,5511,Production,2805,Rice ,2011,2011,1000 tonnes,9241,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),165,Pakistan,5511,Production,2805,Rice ,2012,2012,1000 tonnes,8304,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),165,Pakistan,5511,Production,2805,Rice ,2013,2013,1000 tonnes,10467,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),165,Pakistan,5511,Production,2805,Rice ,2014,2014,1000 tonnes,10504,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),165,Pakistan,5511,Production,2805,Rice ,2015,2015,1000 tonnes,10202,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),165,Pakistan,5511,Production,2805,Rice ,2016,2016,1000 tonnes,10274,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),165,Pakistan,5511,Production,2805,Rice ,2017,2017,1000 tonnes,11175,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),165,Pakistan,5511,Production,2805,Rice ,2018,2018,1000 tonnes,10803,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),165,Pakistan,5511,Production,2805,Rice ,2019,2019,1000 tonnes,11115,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),165,Pakistan,5511,Production,2536,Sugar cane,2010,2010,1000 tonnes,49373,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),165,Pakistan,5511,Production,2536,Sugar cane,2011,2011,1000 tonnes,55309,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),165,Pakistan,5511,Production,2536,Sugar cane,2012,2012,1000 tonnes,58397,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),165,Pakistan,5511,Production,2536,Sugar cane,2013,2013,1000 tonnes,67460,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),165,Pakistan,5511,Production,2536,Sugar cane,2014,2014,1000 tonnes,62826,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),165,Pakistan,5511,Production,2536,Sugar cane,2015,2015,1000 tonnes,65482,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),165,Pakistan,5511,Production,2536,Sugar cane,2016,2016,1000 tonnes,75482,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),165,Pakistan,5511,Production,2536,Sugar cane,2017,2017,1000 tonnes,83333,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),165,Pakistan,5511,Production,2536,Sugar cane,2018,2018,1000 tonnes,67174,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),165,Pakistan,5511,Production,2536,Sugar cane,2019,2019,1000 tonnes,66880,Im,FAO data based on imputation methodology
