Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,1961,1961,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,1962,1962,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,1963,1963,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,1964,1964,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,1965,1965,1000 US$,1,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,1966,1966,1000 US$,2,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,1967,1967,1000 US$,4,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,1968,1968,1000 US$,23,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,1969,1969,1000 US$,8,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,1970,1970,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,1971,1971,1000 US$,1,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,1972,1972,1000 US$,2,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,1973,1973,1000 US$,1,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,1974,1974,1000 US$,2,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,1975,1975,1000 US$,3,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,1976,1976,1000 US$,15,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,1977,1977,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,1978,1978,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,1979,1979,1000 US$,7,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,1980,1980,1000 US$,48,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,1981,1981,1000 US$,101,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,1982,1982,1000 US$,133,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,1983,1983,1000 US$,376,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,1984,1984,1000 US$,55,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,1985,1985,1000 US$,6,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,1986,1986,1000 US$,15,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1171,Animals live nes,1987,1987,1000 US$,6,,Official data
