Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item,Year,Unit,Value,Flag,Flag Description
GN,Energy Use,2,Afghanistan,7273,Emissions (CO2),Coal,1990,kilotonnes,16.7353,F,FAO estimate
GN,Energy Use,2,Afghanistan,7273,Emissions (CO2),Coal,1991,kilotonnes,13.3877,F,FAO estimate
GN,Energy Use,2,Afghanistan,7273,Emissions (CO2),Coal,1992,kilotonnes,1.9023,F,FAO estimate
GN,Energy Use,2,Afghanistan,7273,Emissions (CO2),Coal,1993,kilotonnes,1.5946,F,FAO estimate
GN,Energy Use,2,Afghanistan,7273,Emissions (CO2),Coal,1994,kilotonnes,1.4195,F,FAO estimate
GN,Energy Use,2,Afghanistan,7273,Emissions (CO2),Coal,1995,kilotonnes,1.1565,F,FAO estimate
GN,Energy Use,2,Afghanistan,7273,Emissions (CO2),Coal,1996,kilotonnes,0.6929,F,FAO estimate
GN,Energy Use,2,Afghanistan,7273,Emissions (CO2),Coal,1997,kilotonnes,0.4276,F,FAO estimate
GN,Energy Use,2,Afghanistan,7273,Emissions (CO2),Coal,1998,kilotonnes,0.4004,F,FAO estimate
GN,Energy Use,2,Afghanistan,7273,Emissions (CO2),Coal,1999,kilotonnes,0.1868,F,FAO estimate
GN,Energy Use,2,Afghanistan,7273,Emissions (CO2),Coal,2000,kilotonnes,0.1673,F,FAO estimate
GN,Energy Use,2,Afghanistan,7273,Emissions (CO2),Coal,2001,kilotonnes,0.8831,F,FAO estimate
GN,Energy Use,2,Afghanistan,7273,Emissions (CO2),Coal,2002,kilotonnes,0.1442,F,FAO estimate
GN,Energy Use,2,Afghanistan,7273,Emissions (CO2),Coal,2003,kilotonnes,0.6906,F,FAO estimate
GN,Energy Use,2,Afghanistan,7273,Emissions (CO2),Coal,2004,kilotonnes,0.5358,F,FAO estimate
GN,Energy Use,2,Afghanistan,7273,Emissions (CO2),Coal,2005,kilotonnes,0.4033,F,FAO estimate
GN,Energy Use,2,Afghanistan,7273,Emissions (CO2),Coal,2006,kilotonnes,0.667,F,FAO estimate
GN,Energy Use,2,Afghanistan,7273,Emissions (CO2),Coal,2007,kilotonnes,22.9862,F,FAO estimate
GN,Energy Use,2,Afghanistan,7273,Emissions (CO2),Coal,2008,kilotonnes,34.3212,F,FAO estimate
GN,Energy Use,2,Afghanistan,7273,Emissions (CO2),Coal,2009,kilotonnes,52.0269,F,FAO estimate
GN,Energy Use,2,Afghanistan,7273,Emissions (CO2),Coal,2010,kilotonnes,67.1909,F,FAO estimate
GN,Energy Use,2,Afghanistan,7273,Emissions (CO2),Coal,2011,kilotonnes,126.3472,F,FAO estimate
GN,Energy Use,2,Afghanistan,7273,Emissions (CO2),Coal,2012,kilotonnes,74.8305,F,FAO estimate
GN,Energy Use,2,Afghanistan,7273,Emissions (CO2),Coal,2013,kilotonnes,73.3048,F,FAO estimate
GN,Energy Use,2,Afghanistan,7273,Emissions (CO2),Coal,2014,kilotonnes,58.5288,F,FAO estimate
GN,Energy Use,2,Afghanistan,7273,Emissions (CO2),Coal,2015,kilotonnes,30.7229,F,FAO estimate
GN,Energy Use,2,Afghanistan,7273,Emissions (CO2),Coal,2016,kilotonnes,25.3473,F,FAO estimate
GN,Energy Use,2,Afghanistan,7273,Emissions (CO2),Coal,2017,kilotonnes,26.0221,F,FAO estimate
GN,Energy Use,2,Afghanistan,7273,Emissions (CO2),Coal,2018,kilotonnes,25.5075,F,FAO estimate
GN,Energy Use,2,Afghanistan,7273,Emissions (CO2),Coal,2019,kilotonnes,18.9033,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,1972,kilotonnes,52.0433,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,1973,kilotonnes,67.8825,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,1974,kilotonnes,61.0943,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,1975,kilotonnes,70.711,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,1976,kilotonnes,69.8625,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,1977,kilotonnes,72.9737,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,1978,kilotonnes,70.711,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,1979,kilotonnes,52.609,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,1980,kilotonnes,66.4683,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,1981,kilotonnes,69.5796,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,1982,kilotonnes,84.5703,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,1983,kilotonnes,45.255,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,1984,kilotonnes,17.5363,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,1985,kilotonnes,27.7187,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,1986,kilotonnes,41.8609,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,1987,kilotonnes,65.8303,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,1988,kilotonnes,56.9715,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,1989,kilotonnes,14.1783,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,1990,kilotonnes,143.6658,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,1991,kilotonnes,44.6257,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,1992,kilotonnes,40.187,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,1993,kilotonnes,14.3518,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,1994,kilotonnes,12.539,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,1995,kilotonnes,148.4921,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,1996,kilotonnes,82.6873,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,1997,kilotonnes,138.0987,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,1998,kilotonnes,37.2337,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,1999,kilotonnes,17.1853,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,2000,kilotonnes,110.4222,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,2001,kilotonnes,103.0263,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,2002,kilotonnes,100.9497,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,2003,kilotonnes,193.0958,F,FAO estimate
GN,Energy Use,16,Bangladesh,7273,Emissions (CO2),Coal,2004,kilotonnes,187.513,F,FAO estimate
