Area,Item,Year,Value
Pakistan,"Almonds, with shell",1991,1516
Pakistan,Apples,1991,995
Pakistan,Apricots,1991,459
Pakistan,Bananas,1991,210
Pakistan,Barley,1991,163
Pakistan,Dates,1991,588
Pakistan,"Eggs, hen, in shell",1991,1043
Pakistan,Garlic,1991,556
Pakistan,Grapes,1991,683
Pakistan,"Groundnuts, with shell",1991,434
Pakistan,Lemons and limes,1991,572
Pakistan,Lentils,1991,335
Pakistan,Maize,1991,193
Pakistan,"Mangoes, mangosteens, guavas",1991,375
Pakistan,"Milk, whole fresh buffalo",1991,308
Pakistan,"Milk, whole fresh cow",1991,308
Pakistan,Millet,1991,854
Pakistan,"Onions, dry",1991,100
Pakistan,Oranges,1991,107
Pakistan,Peaches and nectarines,1991,491
Pakistan,Pears,1991,184
Pakistan,"Peas, dry",1991,284
Pakistan,Plums and sloes,1991,421
Pakistan,Potatoes,1991,175
Pakistan,Pulses nes,1991,582
Pakistan,Rapeseed,1991,362
Pakistan,"Rice, paddy",1991,163
Pakistan,Safflower seed,1991,231
Pakistan,Seed cotton,1991,147
Pakistan,Sesame seed,1991,630
Pakistan,Sorghum,1991,215
Pakistan,Soybeans,1991,242
Pakistan,Sugar beet,1991,18
Pakistan,Sugar cane,1991,16
Pakistan,Sunflower seed,1991,263
Pakistan,"Walnuts, with shell",1991,630
Pakistan,Wheat,1991,143
Pakistan,"Wool, greasy",1991,640
Pakistan,"Almonds, with shell",1992,1445
Pakistan,Apples,1992,804
Pakistan,Apricots,1992,588
Pakistan,Bananas,1992,288
Pakistan,Barley,1992,179
Pakistan,Dates,1992,809
Pakistan,"Eggs, hen, in shell",1992,982
Pakistan,Garlic,1992,360
Pakistan,Grapes,1992,688
Pakistan,"Groundnuts, with shell",1992,534
Pakistan,Lemons and limes,1992,499
Pakistan,Lentils,1992,241
Pakistan,Maize,1992,182
Pakistan,"Mangoes, mangosteens, guavas",1992,323
Pakistan,"Milk, whole fresh buffalo",1992,317
Pakistan,"Milk, whole fresh cow",1992,317
Pakistan,Millet,1992,705
Pakistan,"Onions, dry",1992,181
Pakistan,Oranges,1992,107
Pakistan,Peaches and nectarines,1992,490
Pakistan,Pears,1992,245
Pakistan,"Peas, dry",1992,275
Pakistan,Plums and sloes,1992,318
Pakistan,Potatoes,1992,143
Pakistan,Pulses nes,1992,563
Pakistan,Rapeseed,1992,357
Pakistan,"Rice, paddy",1992,174
Pakistan,Seed cotton,1992,194
Pakistan,Sesame seed,1992,548
Pakistan,Sorghum,1992,135
Pakistan,Soybeans,1992,249
Pakistan,Sugar cane,1992,17
Pakistan,Sunflower seed,1992,279
Pakistan,"Walnuts, with shell",1992,621
Pakistan,Wheat,1992,145
Pakistan,"Wool, greasy",1992,591
Pakistan,"Almonds, with shell",1993,2166
Pakistan,Apples,1993,724
Pakistan,Apricots,1993,399
Pakistan,Bananas,1993,277
Pakistan,Barley,1993,175
Pakistan,Dates,1993,563
Pakistan,"Eggs, hen, in shell",1993,1039
Pakistan,Garlic,1993,533
Pakistan,Grapes,1993,756
Pakistan,"Groundnuts, with shell",1993,529
Pakistan,Lemons and limes,1993,778
Pakistan,Lentils,1993,203
Pakistan,Maize,1993,162
Pakistan,"Mangoes, mangosteens, guavas",1993,382
Pakistan,"Milk, whole fresh buffalo",1993,320
Pakistan,"Milk, whole fresh cow",1993,320
Pakistan,Millet,1993,529
Pakistan,"Onions, dry",1993,160
Pakistan,Oranges,1993,129
Pakistan,Peaches and nectarines,1993,458
Pakistan,Pears,1993,197
Pakistan,"Peas, dry",1993,263
Pakistan,Plums and sloes,1993,338
Pakistan,Potatoes,1993,124
Pakistan,Pulses nes,1993,375
Pakistan,Rapeseed,1993,382
Pakistan,"Rice, paddy",1993,165
Pakistan,Roots and tubers nes,1993,203
Pakistan,Safflower seed,1993,240
Pakistan,Seed cotton,1993,213
Pakistan,Sesame seed,1993,538
Pakistan,Sorghum,1993,156
Pakistan,Soybeans,1993,245
Pakistan,Sugar cane,1993,16
Pakistan,Sunflower seed,1993,280
Pakistan,"Walnuts, with shell",1993,533
Pakistan,Wheat,1993,144
Pakistan,"Wool, greasy",1993,440
Pakistan,"Almonds, with shell",1994,1935
Pakistan,Apples,1994,698
Pakistan,Apricots,1994,395
Pakistan,Bananas,1994,291
Pakistan,Barley,1994,132
Pakistan,Dates,1994,655
Pakistan,"Eggs, hen, in shell",1994,1065
Pakistan,Garlic,1994,576
Pakistan,Grapes,1994,981
Pakistan,"Groundnuts, with shell",1994,647
Pakistan,Lemons and limes,1994,724
Pakistan,Lentils,1994,173
Pakistan,Maize,1994,186
Pakistan,"Mangoes, mangosteens, guavas",1994,343
Pakistan,"Milk, whole fresh buffalo",1994,336
Pakistan,"Milk, whole fresh cow",1994,336
Pakistan,Millet,1994,536
Pakistan,"Onions, dry",1994,168
Pakistan,Oranges,1994,153
Pakistan,Peaches and nectarines,1994,319
Pakistan,Pears,1994,204
Pakistan,"Peas, dry",1994,286
Pakistan,Plums and sloes,1994,360
Pakistan,Potatoes,1994,126
Pakistan,Pulses nes,1994,683
Pakistan,Rapeseed,1994,434
Pakistan,"Rice, paddy",1994,172
Pakistan,Safflower seed,1994,221
Pakistan,Seed cotton,1994,204
Pakistan,Sesame seed,1994,632
Pakistan,Sorghum,1994,160
Pakistan,Soybeans,1994,225
Pakistan,Sugar cane,1994,15
Pakistan,Sunflower seed,1994,258
Pakistan,"Walnuts, with shell",1994,430
Pakistan,Wheat,1994,153
