Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1961","1961","ha","388100","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1962","1962","ha","444300","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1963","1963","ha","531000","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1964","1964","ha","477500","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1965","1965","ha","503000","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1966","1966","ha","597300","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1967","1967","ha","649500","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1968","1968","ha","503800","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1969","1969","ha","540700","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1970","1970","ha","620000","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1971","1971","ha","636000","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1972","1972","ha","552400","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1973","1973","ha","533400","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1974","1974","ha","645500","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1975","1975","ha","672818","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1976","1976","ha","699830","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1977","1977","ha","787827","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1978","1978","ha","822500","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1979","1979","ha","752500","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1980","1980","ha","718500","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1981","1981","ha","824700","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1982","1982","ha","946700","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1983","1983","ha","911700","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1984","1984","ha","896500","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1985","1985","ha","903600","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1986","1986","ha","779800","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1987","1987","ha","762000","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1988","1988","ha","841600","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1989","1989","ha","876900","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1990","1990","ha","854300","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1991","1991","ha","883800","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1992","1992","ha","896100","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1993","1993","ha","884600","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1994","1994","ha","962800","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1995","1995","ha","1009000","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1996","1996","ha","963100","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1997","1997","ha","964500","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1998","1998","ha","1056200","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","1999","1999","ha","1155100","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","2000","2000","ha","1009800","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","2001","2001","ha","960800","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","2002","2002","ha","999700","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","2003","2003","ha","1099600","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","2004","2004","ha","1074500","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","2005","2005","ha","966400","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","2006","2006","ha","907300","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","2007","2007","ha","1028800","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","2008","2008","ha","1241300","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","2009","2009","ha","1029400","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","2010","2010","ha","942800","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","2011","2011","ha","987700","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","2012","2012","ha","1057600","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","2013","2013","ha","1172352","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","2014","2014","ha","1140492","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","2015","2015","ha","1131476","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","2016","2016","ha","1217508","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","2017","2017","ha","1341781","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","2018","2018","ha","1101946","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","2019","2019","ha","1039769","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","2020","2020","ha","1165030","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1961","1961","hg/ha","299923","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1962","1962","hg/ha","323131","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1963","1963","hg/ha","347232","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1964","1964","hg/ha","337990","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1965","1965","hg/ha","371113","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1966","1966","hg/ha","373504","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1967","1967","hg/ha","338448","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1968","1968","hg/ha","370365","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1969","1969","hg/ha","406344","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1970","1970","hg/ha","425315","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1971","1971","hg/ha","364261","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1972","1972","hg/ha","361394","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1973","1973","hg/ha","373961","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1974","1974","hg/ha","370418","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1975","1975","hg/ha","315717","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1976","1976","hg/ha","365041","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1977","1977","hg/ha","374739","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1978","1978","hg/ha","365673","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1979","1979","hg/ha","363130","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1980","1980","hg/ha","382710","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1981","1981","hg/ha","392378","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1982","1982","hg/ha","386392","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1983","1983","hg/ha","356844","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1984","1984","hg/ha","382457","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1985","1985","hg/ha","355684","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1986","1986","hg/ha","357224","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1987","1987","hg/ha","572283","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1988","1988","hg/ha","392452","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1989","1989","hg/ha","421664","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1990","1990","hg/ha","415470","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1991","1991","hg/ha","407204","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1992","1992","hg/ha","433712","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1993","1993","hg/ha","430238","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1994","1994","hg/ha","461435","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1995","1995","hg/ha","467477","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1996","1996","hg/ha","469626","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1997","1997","hg/ha","435442","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1998","1998","hg/ha","502785","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","1999","1999","hg/ha","477804","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","2000","2000","hg/ha","458829","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","2001","2001","hg/ha","453854","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","2002","2002","hg/ha","480560","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","2003","2003","hg/ha","473407","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","2004","2004","hg/ha","500884","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","2005","2005","hg/ha","488867","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","2006","2006","hg/ha","492290","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","2007","2007","hg/ha","532092","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","2008","2008","hg/ha","514944","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","2009","2009","hg/ha","486161","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","2010","2010","hg/ha","523684","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","2011","2011","hg/ha","559973","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","2012","2012","hg/ha","552165","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","2013","2013","hg/ha","575425","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","2014","2014","hg/ha","550872","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","2015","2015","hg/ha","578734","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","156","Sugar cane","2016","2016","hg/ha","619973","Fc","Calculated data"
