Domain Code,Domain,Area,Element,Item,Year,Unit,Value
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1972,kilotonnes,0.0507
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1973,kilotonnes,0.0576
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1974,kilotonnes,0.0423
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1975,kilotonnes,0.0482
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1976,kilotonnes,0.0444
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1977,kilotonnes,0.0434
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1978,kilotonnes,0.0471
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1979,kilotonnes,0.0418
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1980,kilotonnes,0.0446
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1981,kilotonnes,0.0319
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1982,kilotonnes,0.0221
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1983,kilotonnes,0.0287
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1984,kilotonnes,0.0309
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1985,kilotonnes,0.0391
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1986,kilotonnes,0.0434
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1987,kilotonnes,0.0428
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1988,kilotonnes,0.0589
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1989,kilotonnes,0.0525
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1990,kilotonnes,0.0512
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1991,kilotonnes,0.0473
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1992,kilotonnes,0.0503
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1993,kilotonnes,0.0512
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1994,kilotonnes,0.055
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1995,kilotonnes,0.048
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1996,kilotonnes,0.0446
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1997,kilotonnes,0.048
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1998,kilotonnes,0.0437
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,1999,kilotonnes,0.0444
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2000,kilotonnes,0.0521
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2001,kilotonnes,0.0451
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2002,kilotonnes,0.0346
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2003,kilotonnes,0.0325
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2004,kilotonnes,0.0252
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2005,kilotonnes,0.0146
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2006,kilotonnes,0.0173
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2007,kilotonnes,0.0194
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2008,kilotonnes,0.0125
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2009,kilotonnes,0.0104
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2010,kilotonnes,0.0072
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2011,kilotonnes,0.0041
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2012,kilotonnes,0.0057
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2013,kilotonnes,0.0084
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2014,kilotonnes,0.0066
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2015,kilotonnes,0.0027
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2016,kilotonnes,0.0023
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2017,kilotonnes,0.0027
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2018,kilotonnes,0.0027
GN,Energy Use,Pakistan,Emissions (CH4),Gas-Diesel oil,2019,kilotonnes,0.0019
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1972,kilotonnes,0.3493
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1973,kilotonnes,0.3972
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1974,kilotonnes,0.2915
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1975,kilotonnes,0.332
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1976,kilotonnes,0.3062
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1977,kilotonnes,0.2988
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1978,kilotonnes,0.3247
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1979,kilotonnes,0.2878
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1980,kilotonnes,0.3075
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1981,kilotonnes,0.2201
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1982,kilotonnes,0.1525
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1983,kilotonnes,0.198
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1984,kilotonnes,0.2128
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1985,kilotonnes,0.2693
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1986,kilotonnes,0.2988
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1987,kilotonnes,0.2952
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1988,kilotonnes,0.4058
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1989,kilotonnes,0.3616
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1990,kilotonnes,0.353
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1991,kilotonnes,0.3259
GN,Energy Use,Pakistan,Emissions (N2O),Gas-Diesel oil,1992,kilotonnes,0.3468
