Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item,Year,Months Code,Months,Unit,Value
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,1991,7021,Annual value,USD,163
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,1992,7021,Annual value,USD,178
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,1993,7021,Annual value,USD,136
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,1994,7021,Annual value,USD,161
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,1995,7021,Annual value,USD,186
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,1996,7021,Annual value,USD,178
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,1997,7021,Annual value,USD,167
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,1998,7021,Annual value,USD,172
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,1999,7021,Annual value,USD,173
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2000,7021,Annual value,USD,155
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2001,7021,Annual value,USD,147
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2002,7021,Annual value,USD,145
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2003,7021,Annual value,USD,215
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2004,7021,Annual value,USD,227
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2005,7021,Annual value,USD,218
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2006,7021,Annual value,USD,201
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2007,7021,Annual value,USD,256
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2008,7021,Annual value,USD,211
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2009,7021,Annual value,USD,250
PP,Producer Prices,16,Bangladesh,5532,Producer Price (USD/tonne),Wheat,2010,7021,Annual value,USD,295
