Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Year,Unit,Value
OA,Annual population,165,Pakistan,512, Male,1950,1000 persons,20461.235
OA,Annual population,165,Pakistan,513, Female,1950,1000 persons,17081.135
OA,Annual population,165,Pakistan,512, Male,1951,1000 persons,20667.31
OA,Annual population,165,Pakistan,513, Female,1951,1000 persons,17325.574
OA,Annual population,165,Pakistan,512, Male,1952,1000 persons,20913.115
OA,Annual population,165,Pakistan,513, Female,1952,1000 persons,17603.399
OA,Annual population,165,Pakistan,512, Male,1953,1000 persons,21196.358
OA,Annual population,165,Pakistan,513, Female,1953,1000 persons,17912.732
OA,Annual population,165,Pakistan,512, Male,1954,1000 persons,21515.099
OA,Annual population,165,Pakistan,513, Female,1954,1000 persons,18252.07
OA,Annual population,165,Pakistan,512, Male,1955,1000 persons,21867.756
OA,Annual population,165,Pakistan,513, Female,1955,1000 persons,18620.276
OA,Annual population,165,Pakistan,512, Male,1956,1000 persons,22253.111
OA,Annual population,165,Pakistan,513, Female,1956,1000 persons,19016.61
OA,Annual population,165,Pakistan,512, Male,1957,1000 persons,22670.309
OA,Annual population,165,Pakistan,513, Female,1957,1000 persons,19440.702
OA,Annual population,165,Pakistan,512, Male,1958,1000 persons,23118.814
OA,Annual population,165,Pakistan,513, Female,1958,1000 persons,19892.51
OA,Annual population,165,Pakistan,512, Male,1959,1000 persons,23598.33
OA,Annual population,165,Pakistan,513, Female,1959,1000 persons,20372.23
OA,Annual population,165,Pakistan,512, Male,1960,1000 persons,24108.624
OA,Annual population,165,Pakistan,513, Female,1960,1000 persons,20880.066
OA,Annual population,165,Pakistan,512, Male,1961,1000 persons,24649.289
OA,Annual population,165,Pakistan,513, Female,1961,1000 persons,21415.94
OA,Annual population,165,Pakistan,512, Male,1962,1000 persons,25219.575
OA,Annual population,165,Pakistan,513, Female,1962,1000 persons,21979.311
OA,Annual population,165,Pakistan,512, Male,1963,1000 persons,25818.3
OA,Annual population,165,Pakistan,513, Female,1963,1000 persons,22568.993
OA,Annual population,165,Pakistan,512, Male,1964,1000 persons,26444.062
OA,Annual population,165,Pakistan,513, Female,1964,1000 persons,23183.561
OA,Annual population,165,Pakistan,512, Male,1965,1000 persons,27095.945
