Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1961","1961","ha","1400","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1962","1962","ha","1900","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1963","1963","ha","3200","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1964","1964","ha","3800","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1965","1965","ha","4200","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1966","1966","ha","3000","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1967","1967","ha","3400","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1968","1968","ha","3600","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1969","1969","ha","3844","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1970","1970","ha","4168","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1971","1971","ha","4520","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1972","1972","ha","5060","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1973","1973","ha","6167","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1974","1974","ha","7156","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1975","1975","ha","8021","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1976","1976","ha","8784","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1977","1977","ha","9719","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1978","1978","ha","10251","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1979","1979","ha","10854","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1980","1980","ha","11374","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1981","1981","ha","11872","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1982","1982","ha","12931","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1983","1983","ha","13304","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1984","1984","ha","14832","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1985","1985","ha","17422","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1986","1986","ha","18491","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1987","1987","ha","19098","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1988","1988","ha","21800","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1989","1989","ha","22390","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1990","1990","ha","22800","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1991","1991","ha","27865","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","515","Apples","1992","1992","ha","31384","","Official data"
